Genome,Phylum,Paper,Loaded,Complete,Chrs,Plasmids,Genes
Acaryochloris marina MBIC11017,Cyanobacteria,yes,24-03-08,yes,1,9,8551
Acetobacter pasteurianus IFO 3283-01,Proteobacteria,yes,25-11-09,yes,1,6,3122
"Acetohalobium arabaticum Z-7288, DSM 5501",Firmicutes,,16-11-10,no,,,2404
Acholeplasma laidlawii PG-8A,Tenericutes,,24-03-08,yes,1,0,1433
Acidaminococcus fermentans DSM 20731,Firmicutes,,24-05-10,yes,1,0,2174
Acidimicrobium ferrooxidans DSM 10331,Actinobacteria,,25-11-09,yes,1,0,2095
Acidiphilium cryptum JF-5,Proteobacteria,,24-03-08,yes,1,8,3692
Acidithiobacillus ferrooxidans ATCC 53993,Proteobacteria,,21-04-09,yes,1,0,2959
Acidobacteria bacterium Ellin345,Acidobacteria,,22-11-06,yes,1,0,4834
Acidobacterium capsulatum ATCC 51196,Acidobacteria,yes,25-11-09,yes,1,0,3492
Acidothermus cellulolyticus 11B,Actinobacteria,,22-11-06,yes,1,0,2217
Acidovorax avenae subsp. citrulli AAC00-1,Proteobacteria,,08-05-07,yes,1,0,4858
Acidovorax sp. JS42,Proteobacteria,,08-05-07,yes,1,2,4383
Acinetobacter baumannii AB0057,Proteobacteria,,27-01-09,yes,1,1,3923
Acinetobacter baumannii AB307-0294,Proteobacteria,yes,27-01-09,yes,1,0,3542
Acinetobacter baumannii AB900,Proteobacteria,yes,27-01-09,no,,,3783
Acinetobacter baumannii ACICU,Proteobacteria,yes,27-01-09,yes,1,2,3845
Acinetobacter baumannii ATCC 17978,Proteobacteria,yes,24-03-08,yes,1,2,3469
Acinetobacter baumannii AYE,Proteobacteria,,21-04-09,yes,1,4,3890
Acinetobacter baumannii SDF,Proteobacteria,,21-04-09,yes,1,3,4349
Acinetobacter sp. ADP1,Proteobacteria,yes,,yes,1,0,3407
Acinetobacter sp. ATCC 27244,Proteobacteria,,21-04-09,no,,,
Actinobacillus minor 202,Proteobacteria,,21-04-09,no,,,807
Actinobacillus pleuropneumoniae L20,Proteobacteria,,08-05-07,yes,1,0,2109
Actinobacillus pleuropneumoniae serovar 1 str. 4074,Proteobacteria,,08-05-07,no,,,2132
Actinobacillus pleuropneumoniae serovar 3 str. JL03,Proteobacteria,yes,24-03-08,yes,1,0,2145
Actinobacillus pleuropneumoniae serovar 7 str. AP76,Proteobacteria,,21-04-09,yes,1,3,2220
Actinobacillus succinogenes 130Z,Proteobacteria,,24-03-08,yes,1,0,2199
Actinomyces coleocanis DSM 15436,Actinobacteria,,21-04-09,no,,,
Actinomyces odontolyticus ATCC 17982,Actinobacteria,,24-03-08,no,,,2214
Actinomyces urogenitalis DSM 15434,Actinobacteria,,21-04-09,no,,,
"Actinospica robiniae GE134769, DSM 44927",Actinobacteria,,16-11-10,no,,,8777
Actinosynnema mirum DSM 43827,Actinobacteria,,25-11-09,yes,1,0,7179
"Aequorivita sublithincola QSSC9-3, DSM 14238",Bacteroidetes,,16-11-10,no,,,3226
Aeromonas hydrophila subsp. hydrophila ATCC 7966,Proteobacteria,,22-11-06,yes,1,0,4287
Aeromonas salmonicida subsp. salmonicida A449,Proteobacteria,yes,24-03-08,yes,1,5,4758
